Id,String,String,String,String
998015, Tips : _nTips15,팁 :_n, ヒント : _nヒント15,温馨提示:_n提示15
998016, Tips : _nTips16,팁 :_n, ヒント : _nヒント16,温馨提示:_n提示16
998017, Tips : _nTips17,팁 :_n, ヒント : _nヒント17,温馨提示:_n提示17
998018, Tips : _nTips18,팁 :_n, ヒント : _nヒント18,温馨提示:_n提示18
998019, Tips : _nTips19,팁 :_n, ヒント : _nヒント19,温馨提示:_n提示19
998020, Tips : _nTips20,팁 :_n, ヒント : _nヒント20,温馨提示:_n提示20
999001, New Game, 새로운 게임, 新しいゲーム, 新游戏
999002, Limited Resources, 자원 한정 모드, 限定資源モード, 资源限定模式
999003, Exit Game, 게임 종료, ゲーム終了, 游戏结束
999004, Continue, 이어하기, 続きから, 继续游戏
999005, Best Earning Record_n{0} coins, 최고 수익 기록_n{0} 코인, 最高収益記録_n{0} コイン, 最高收益记录_n{0} 硬币
999006, Restart, 재시작, 再スタート, 重新开始
999007, Main Menu, 메인 메뉴로, メインメニューへ, 回主菜单
999008, Quit, 나가기, 終了, 退出
999009, Average Inventory Cost, 평균 매입가, 平均購入価格, 平均进价
999010, Max, 최대, 最大, 最大
999011, Purchase, 구매, 購入, 购买
999012, Sell, 판매, 販売, 出售
999013, Random Box, 랜덤 박스, ランダムボックス, 随机箱子
999014, Gather for intel, 정보 수집, 情報収集, 收集情报
999015, Cost, 총액, 合計, 总额
999016, Revenue, 총 판매액, 総売上, 总销售额
999017, Gather intel about product pricing, 상품 가격에 관한 정보 수집, 商品の価格情報を収集する, 收集商品价格信息
999018, Invest in the inn, 여관에 투자, 宿に投資する, 投资客栈
999019, Profit:, 수익:, 利益:, 收益:
999020, Total investment : {0}, 총 투자액 : {0}, 総投資額 : {0}, 总投资额 : {0}
999021, Capacity : {0} / {1}_nRental Fee : {2} / day, 용량 : {0} / {1}_n임대료: {2} / 1일, 容量 : {0} / {1}_nレンタル料: {2} / 日, 容量 : {0} / {1}_n租金: {2} / 天
999022, Level : {0}, 레벨 : {0}, レベル : {0}, 等级 : {0}
999023, Bulletin Board, 게시판, 掲示板, 公告板
999024, Cost :, 비용 :, 費用 :, 费用 :
999025, Lend money, 돈 빌려주기, お金を貸す, 借钱
999026, Retrieve, 회수, 回収, 回收
999027, Price, 판가, 販売価格, 售价
999028, Total Price, 총액, 合計金額, 总价
999029, Take, 획득, 獲得, 获取
999030,GameMode,게임모드,ゲームモード,游戏模式
999031,Days,날짜,進んだ日,经过日
999032,Coins,코인,コイン,硬币
999033,Last Played,마지막 플레이,最近プレイ,最近保存记录
999034,Normal Mode,기본 모드,ノーマルモード,普通模式
999035,Show Me The Money,쇼미더머니,お金持ち,富二代
999036,Endless Journey,끝없는 여정,終わりなき旅,无尽旅程
999037,Empty,빈 슬롯,空きスロット,空槽
999038,Delete Save,삭제,削除,删除
999039,30-Day Challenge,30일 챌린지,30日チャレンジ,30天挑战
999040,Rags to Riches,파산 직전,裸一貫から,白手起家
999041,Sole Spendthrift,자식이 웬수,子どもは悩みの種,孩子是来讨债的
999042,Double Trouble,환장의 쌍둥이,ダブルトラブル,双重麻烦
999043,Grand Warehouse,대 창고 시대,大倉庫時代, 大仓库时代
999044,Tiny Storage,작은 창고,小さな倉庫,狭小仓库
999045,Ghost Market,유령시장,ゴーストマーケット,幽灵市场
999046,Best Record,최고 기록,ハイスコア,最佳记录
999047,To Previous,이전으로,前に,到以前
999048, Blank, 공란, 空欄, 空白
999049, Blank, 공란, 空欄, 空白
999050, Blank, 공란, 空欄, 空白
999051, Blank, 공란, 空欄, 空白
999052, Blank, 공란, 空欄, 空白
999053, Blank, 공란, 空欄, 空白
999054, Blank, 공란, 空欄, 空白
999055, Blank, 공란, 空欄, 空白
999056, Blank, 공란, 空欄, 空白
999901,Not enough coins to pay off rental fee. Do you still want to continue losing all the progress in this game?, 창고 임대료를 지불할 코인이 부족합니다. 현재까지의 진행 상황을 잃고 메인 화면으로 돌아갑니다. 계속합니까?, 倉庫のレンタル料を支払うコインが足りません。これまでの進行状況が失われ、メインメニューに戻ります。続けますか？, 仓库租金的硬币不足，将失去目前的进度并返回主菜单。要继续吗？
999902,Insufficient coins., 코인이 부족합니다., コインが足りません。, 硬币不足。
999903,You cannot buy items over maximum inventory capacity., 창고 용량이 부족합니다., 倉庫の容量が足りません。, 仓库容量不足。
999904,Proceed to next day?, 다음 날로 이동하시겠습니까 ?, 次の日に進みますか？, 要前往下一天吗？
999905,Would you upgrade your inventory with {0} coins ? Rental fee for next inventory level : {1} coins a day, {0} 코인을 사용하여 창고를 업그레이드 하시겠습니까 ? 다음 레벨의 창고 비용 : 1일{1}코인., {0}コインを使って倉庫をアップグレードする？次のレベルの倉庫の料金は1日{1}コインだよ。, 花费{0}硬币升级仓库吗？下一等级的仓库租金为每天{1}硬币。
999906, Do you want to downgrade Inventory level ? Rental fee for downgraded inventory level : {0} coins a day, 창고 레벨을 낮추시겠습니까 ? 다운그레이드 후 창고 비용 : 1일{0}코인., 倉庫のレベルを下げる？ダウングレード後のレンタル料は1日{0}コインだよ。, 要降级仓库吗？降级后仓库租金为每天{0}硬币。
999907, Pre - order with a <color=#FFFF00>{0}</color>% discount, 시장 가격보다 <color=#FFFF00>{0}</color>% 할인된 가격으로 예약 주문, 市場価格より<color=#FFFF00>{0}</color>% 割引で予約注文できるよ。, 以比市场价低<color=#FFFF00>{0}</color>% 的折扣进行预定订单
999908, You can purchase each type of box once daily.Each box contains 1–5 of the same product which disappears if not collected.,매일 각 유형의 상자를 한 번씩 구매할 수 있으며 1~5개의 동일한 상품이 들어 있습니다. 상품은 가져가지 않으면 사라집니다., 毎日各種類のボックスを一度だけ購入でき、1～5個の同じ商品が入ってるよ。取らないと商品は消えちゃう。, 每天每种箱子只能购买一次，内含1到5个相同的商品，如果不拿走，商品就会消失。
999909," ""You can receive a pre-ordered product the day after purchase. You do not have to pick it up immediately","상품을 구매한 뒤, 다음 날에 취득할 수 있습니다. 상품을 취득하지 않더라도 사라지진 않지만, 새로운 주문으로 교체되지도 않습니다.", 商品は購入後、翌日に受け取れるよ。受け取らなくても消えはしないけど、新しい注文に切り替わることもないよ。, 购买后，商品可以在第二天获取。即使不取走，也不会消失，但不会被新订单替换。
999910, You can only gather information once a day.The information you gather may be duplicated., 정보 수집은 하루에 한 번만 할 수 있습니다.수집한 정보가 중복일 수도 있습니다., 情報収集は一日に一度だけ。集めた情報は重複することもあるよ。, 每天只能收集一次情报，收集到的信息可能会重复。
999911," ""You can retrieve profit once a day","하루에 한 번 수익을 받을 수 있습니다. 수익은 총 투자액의 {0}%이며, 투자금은 반환되지 않으니 신중하게 투자하세요.", 1日に一度だけ利益を受け取れるよ。利益は総投資額の{0} % で、投資金は返ってこないから、慎重に投資してね。, 每天只能领取一次收益。收益为总投资额的{0}% ，且投资款不会返还，请谨慎投资。
999912," ""Sir", 사장님 제게 <color=#FFFF00>{0}</color> 코인을 빌려주셨으면 합니다. <color=#FFFF00>{1}</color>일 후에 <color=#FFFF00>{2}</color> 코인으로 갚겠습니다., 社長、<color=#FFFF00>{0}</color>コインを貸していただけませんか？<color=#FFFF00>{1}</color>日後に<color=#FFFF00>{2}</color>コインで返します。, 老板，请借给我<color=#FFFF00>{0}</color>硬币，<color=#FFFF00>{1}</color>天后我会还<color=#FFFF00>{2}</color>硬币。
999913, Inventory reached max level., 창고가 최대 레벨입니다., 倉庫は最大レベルだよ。, 仓库已达到最高等级。
999914, Cannot downgrade Inventory anymore., 창고가 최저 레벨입니다., 倉庫は最小レベルだよ。, 仓库已达到最低等级。
999915, Inventory occupancy must be equal to or less than {0} to downgrade., 보유 상품이{0}칸 이하여야 다운그레이드가 가능합니다., 所持商品の数が{0}スロット以下でなければ、ダウングレードできないよ。, 持有商品必须不超过{0}格才能降级。
999916," ""Sir", 사장님 약속드렸던 <color=#FFFF00>{0}</color> 코인입니다., 社長、約束した<color=#FFFF00>{0}</color>コインです。, 老板，这是承诺的<color=#FFFF00>{0}</color>硬币。
999917," ""Thank you for your help", 지난번엔 감사했습니다 사장님., 前回はありがとう、社長。, 上次谢谢您，老板。
999918," ""Thank you very much", 감사합니다 사장님., 本当にありがとう、社長。, 非常感谢，老板。
999919," ""According to the info", <color=#FFFF00>{0}</color>의{1}는{2}코인이라고 합니다., <color=#FFFF00>{0}</color>の{1}は{2}コインだって。, 据说<color=#FFFF00>{0}</color>的{1}是{2}硬币。
999920, Lowest price, 최저가, 最安値, 最低价
999921, Highest price, 최고가, 最高値, 最高价
999922, The following items can be sold at{0}% higher prices!!,현재 시장 가격보다 <color=#FFFF00>{0}</color>% 높은 가격으로 판매 가능!!, 現在の市場価格より{0}% 高い価格で販売可能！！, 可按比当前市场价高{0}% 的价格出售！！
999923,The progress of selected slot will be cleared. Continue?,해당 슬롯의 진행상황이 삭제됩니다. 계속하시겠습니까?,対応スロットの進行状況が消されます。続行しますか？,该槽的进度将被清除。您想继续吗？
999924,The progress of selected slot will be overwritten. Continue?,해당 슬롯의 진행상황을 덮어씁니다. 계속하시겠습니까?,対応スロットの進行状況を上書きします。続行しますか？,覆盖该插槽的进度。您想继续吗？
999925,Slot data deleted successfully.,해당 슬롯의 데이터가 삭제되었습니다.,スロットのデータが削除されました。,删除成功。
999926,"This is last day, and will be lead to settlement. Continue?",마지막 날입니다. 게임을 끝내고 결산 화면으로 갑니다. 계속 하시겠습니까?,今日は最後の日で決算に進まれます。続きますか？,今天将会进入现金结算。是否继续？
999927,Not enough coins to pay off rental fee and .Do you want to lose all progress in this game and continue ?,창고 임대료와 상환금을 지불할 코인이 부족합니다. 현재까지의 진행 상황을 잃고 메인 화면으로 돌아갑니다. 계속합니까?, 倉庫のレンタル料と返済額を支払うコインが足りません。これまでの進行状況が失われ、メインメニューに戻ります。続けますか？, 仓库租金和还款的硬币不足，将失去目前的进度并返回主菜单。要继续吗？
999928,0,0,0,0
999929,0,0,0,0
999930,0,0,0,0
999931,0,0,0,0
999932,0,0,0,0
999933,0,0,0,0
999934,0,0,0,0
999935,Short on cash? Fear not!,돈이 너무 적어서 불만이시라고요? 걱정 마세요!,お金が足りない？心配ご無用！,钱不够用吗？别担心！
999936,"No time limit, no boundaries! Expand your empire at your own pace for as long as you wish.",시간 제한 없이 무제한으로 즐기는 모드! 원하는 만큼 천천히 제국을 확장해 보세요.,"""時間制限なし、果てしない自由！好きなだけ自分の帝国を拡大し続けられます。""","""没有时间限制、没有边界！随心所欲地扩张您的帝国，想玩多久就玩多久。"""
999937,0,0,0,0
999938,0,0,0,0
999939,"""A fast-paced sprint: you've got only 30 days to make the biggest impact. Can you rise to the challenge?""",“시간이 금인 분들을 위한 압축 코스! 단 30일 안에 최대 성과를 내야 합니다. 짧아서 더 짜릿한 승부를 펼쳐보세요.”,"""短期決戦！30日という限られた期間で最大限の成果を得られるでしょうか？""","""一场快节奏的冲刺：只有30天的时间来创造最大价值。你能接受挑战吗？"""
999940,"""Start with practically nothing and climb your way to the top. It's the ultimate underdog story!""",“통장이 바닥을 보이기 시작했습니다. 하루가 멀다 하고 은행의 독촉장이 날아오네요. 더 이상 뒤로 물러설 곳이 없습니다!”,"""ほぼ無一文から頂点へ！自力でのし上がる大逆転ストーリーを体験せよ。""","""几乎从零开始，一步步攀登至顶峰！体验真正的白手起家逆转故事。"""
999941,"""Your sole heir is a champion spender! Each day, half of your funds vanish. Can you outpace their extravagance?""",“자식이 돈을 물쓰듯 씁니다! 매일 밤마다 남은 금액이 절반으로 줄어드는 스릴. 그가 완전히 탕진하기 전에 부를 늘릴 수 있을까요?”,"""唯一の子供が浪費家！毎日資金が半減します。彼の豪遊を上回るペースで増やせるか？""","""您唯一的孩子是个大手大脚的败家子！每天资产都会减半，你能赶在他之前赚到钱吗？"""
999942,"""Two reckless heirs, double the trouble! Every day, your balance plummets to zero. Survive if you can!""","""못 말리는 아이가 둘! 매일 잔고가 0원이 되는 극악 난이도. 과연 생존 가능할까요?""","""手に負えない子供が二人！毎日残高がゼロになる超高難度。果たして生き残れるか？""","""有两个无法管教的孩子！每天资产都会被清空到零，极度困难。你能挺过来吗？"""
999943,"""You begin with an immense warehouse that cannot be downgraded. Make the most of the vast storage to ensure success.""","“거대한 창고를 가지고 시작하지만, 다운그레이드는 불가! 넉넉한 공간을 어떻게 활용하느냐가 성공의 열쇠가 됩니다.”","“거대한 창고를 가지고 시작하지만, 다운그레이드는 불가! 넉넉한 공간을 어떻게 활용하느냐가 성공의 열쇠가 됩니다.”","""您从一个巨大的仓库开始，但无法降级。充分利用这片广阔的空间，争取成功。"""
999944,"""You only have a tiny storage that can't be upgraded. Manage your limited space wisely and maximize efficiency!""",“아담한 창고로 시작해요. 안타깝게도 업그레이드는 막혀 있습니다. 한정된 자원을 효율적으로 운영해야 하죠!”,"""アップグレード不可の小さな倉庫でスタート。限られたスペースを効率的に使いこなせ！""","""只能使用无法升级的小仓库。合理利用有限空间，以获得最大收益！"""
999945,"""No merchants in sight—it's like a ghost town. Brace yourself for a self-sufficient survival challenge!""","“거리에 상인이 전혀 보이지 않습니다. 유령 마을 같은 이곳에서 살아남아야 합니다.""","""商人が一人もいないゴーストタウン！自給自足で切り抜ける究極のサバイバル。""","""市场上空无一人，宛如鬼城。迎接自给自足的生存挑战吧！"""
999946,0,0,0,0
999947,0,0,0,0
999948,0,0,0,0
999949,0,0,0,0
999950,0,0,0,0
999951,0,0,0,0
999952,0,0,0,0
999953,0,0,0,0
999954,0,0,0,0
999955,0,0,0,0
999956,0,0,0,0
999957,0,0,0,0
999958,0,0,0,0
999959,0,0,0,0
999960,0,0,0,0
999961,0,0,0,0
999962,0,0,0,0
999963,0,0,0,0
999964,0,0,0,0
999965,0,0,0,0
999966,0,0,0,0
999967,0,0,0,0
999968,0,0,0,0
999969,0,0,0,0
999970,0,0,0,0
999971,0,0,0,0
999972,0,0,0,0
999973,0,0,0,0
999974,0,0,0,0
999975,0,0,0,0
999976,0,0,0,0
999977,0,0,0,0
999978,0,0,0,0
999979,0,0,0,0
999980,0,0,0,0
999981,0,0,0,0
999982,0,0,0,0
999983,0,0,0,0
999984,0,0,0,0
999985,0,0,0,0
999986,0,0,0,0
999987,0,0,0,0
999988,0,0,0,0
999989,0,0,0,0
999990,Designed by : Yongjun Jho_nDeveloped by : James Lee,기획 : 조용준_n개발 : 이재혁,Designed by : Yongjun Jho_nDeveloped by : James Lee,Designed by : Yongjun Jho_nDeveloped by : James Lee
999991,"Hello, you've opened your eyes.","안녕, 눈을 떴구나",こんにちは、目が覚めたんだね,你好，你醒了啊
999992,You're asking who I am?,내가 누구냐고?,俺が誰かって？,你在问我是谁吗？
999993,You don't need to know that. You have to earn money through trade.,"그건 알 거 없고, 너는 장사를 통해 돈을 벌어야 해",そんなことは知らなくていい。お前は商売でお金を稼がなきゃならない。,那种事不必知道，你必须通过做生意来赚钱。
999994,What? You don't know how to do business? You won't know until you try.,뭐? 장사 하는법을 모른다고? 그건 해보기 전엔 모르는 일이지,何？商売のやり方がわからないって？やってみるまではわからないものだ。,什么？你不知道怎么做生意？不试试怎么知道？
999995,"I'll lend you ten thousand coins as initial capital, so do your best.",내가 초기 자본금 만 코인을 빌려 줄 테니 어디 한 번 잘 해봐,初期資金として１万コインを貸してやるから、うまくやってみろ。,我会借给你一万硬币作为启动资金，好好干吧。
999996,"You just have to pay me back double in 50 days. Easy, right?","50일 후에 두 배로만 갚으면 돼, 참 쉽지?",50日後に倍にして返してくれればいい。簡単だろう？,只要在50天后双倍还给我就行，很简单吧？
999997,"Then, good luck..!_n(Press Skip button to continue)",그럼 건투를 빌어..!_n(건너뛰기 버튼을 눌러 진행),じゃあ、健闘を祈る…！（「スキップ」ブタンで進行）,那么，祝你好运..!（可按【跳过】按钮进行）
999998,Skip,건너뛰기,スキップ,跳过
999999,Default,Default,デフォルト,默认
